Class,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,11851463,1961888,804607,26945,35881,49045,335892,196834,174716,68081,335894,977786,70271,1298223
1,3223821,14214563,4823913,61535,39040,41175,168102,622978,199764,71255,21416,133544,114876,1336017
2,187667,455449,2338871,6549,1651,4410,32503,89141,36178,6776,266,5610,18535,25660
3,5685,7805,9416,597412,413,1254,1018,0,44,0,24,32,6269,1032
4,98,17,41,736,3662,137,73,0,1,0,0,0,329,144
5,2172,877,1096,615,872,178505,32696,5,1704,599,0,773,7929,3022
6,712,462,198,0,684,8280,22985,125,503,117,6,5,1984,306
7,30218,22232,17904,0,702,0,708,582576,5277,3357,7795,191,507,19622
8,2301,5318,4011,0,44,0,173,145,23767,374,5,120,0,745
9,2479,335,357,0,0,2,198,0,0,44300,427,1952,0,1660
10,6821,337,111,0,2,60,449,6,37,2834,52823,55560,48,16112
11,53114,3567,1781,48,1605,62,736,80,1454,13702,72662,550354,576,10339
12,167,92,5,67,742,310,1075,0,0,582,0,5,1379,128
13,175960,92531,9497,50,1621,557,5074,14176,857,6834,8596,26750,4935,262015
